Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,21.850000,23.370001,21.559999,22.000000,22.000000,10261596
2020-09-30,21.990000,23.170000,21.570000,23.000000,23.000000,5914951
2020-10-01,23.400000,23.770000,22.610001,22.610001,22.610001,4359302
2020-10-02,22.400000,22.969999,21.980000,22.420000,22.420000,4092751
2020-10-05,22.559999,22.780001,21.750000,21.750000,21.750000,3199904
2020-10-06,21.900000,21.900000,20.850000,21.010000,21.010000,4579540
2020-10-07,21.100000,21.469999,20.620001,21.000000,21.000000,3128761
2020-10-08,21.059999,21.190001,20.549999,20.900000,20.900000,3609813
2020-10-09,20.690001,21.590000,20.549999,21.040001,21.040001,3123835
2020-10-12,21.139999,21.389999,20.709999,21.350000,21.350000,2654532
2020-10-13,21.290001,21.870001,21.000000,21.709999,21.709999,3883149
2020-10-14,21.850000,22.350000,21.730000,21.830000,21.830000,3126356
2020-10-15,21.549999,21.870001,21.260000,21.500000,21.500000,2139903
2020-10-16,21.299999,21.620001,21.200001,21.200001,21.200001,2182302
2020-10-19,21.240000,21.530001,21.100000,21.270000,21.270000,1575415
2020-10-20,21.200001,21.430000,20.920000,20.920000,20.920000,2002759
2020-10-21,20.840000,21.139999,20.520000,20.799999,20.799999,2048589
2020-10-22,20.700001,20.780001,20.410000,20.410000,20.410000,1745183
2020-10-23,20.250000,20.580000,20.250000,20.420000,20.420000,1567884
2020-10-26,20.200001,20.330000,19.709999,19.735001,19.735001,1791934
2020-10-27,19.700001,19.750000,19.290001,19.424999,19.424999,1981501
2020-10-28,19.094999,19.190001,18.504999,18.629999,18.629999,2626525
2020-10-29,18.580000,19.020000,18.379999,18.600000,18.600000,2152088
2020-10-30,18.500000,18.799999,18.360001,18.799999,18.799999,2381153
2020-11-02,18.875000,19.549999,18.830000,19.549999,19.549999,1853487
2020-11-03,19.799999,20.030001,19.495001,19.850000,19.850000,2150878
2020-11-04,19.465000,19.719999,18.605000,19.035000,19.035000,2299198
2020-11-05,19.219999,20.440001,19.105000,20.219999,20.219999,2582055
2020-11-06,20.260000,20.450001,19.850000,20.250000,20.250000,1481804
2020-11-09,20.879999,21.690001,20.709999,21.170000,21.170000,2249061
2020-11-10,20.799999,21.100000,20.299999,20.500000,20.500000,2074641
2020-11-11,21.000000,21.490000,20.709999,21.469999,21.469999,2465078
2020-11-12,21.299999,22.330000,21.150000,22.200001,22.200001,2069021
2020-11-13,22.219999,22.879999,21.980000,22.870001,22.870001,1903756
2020-11-16,22.870001,23.299999,22.770000,23.200001,23.200001,2038863
2020-11-17,23.000000,23.480000,23.000000,23.469999,23.469999,1538668
2020-11-18,23.469999,23.969999,23.340000,23.879999,23.879999,1796127
2020-11-19,23.530001,24.309999,23.490000,24.190001,24.190001,1244697
2020-11-20,24.309999,25.049999,24.250000,25.020000,25.020000,1643673
2020-11-23,25.350000,25.469999,24.559999,25.070000,25.070000,1755848
2020-11-24,25.480000,25.639999,24.910000,25.540001,25.540001,1808115
2020-11-25,25.530001,25.620001,24.760000,25.059999,25.059999,1657338
2020-11-26,25.570000,25.570000,25.110001,25.240000,25.240000,935265
2020-11-27,25.100000,25.250000,24.760000,24.920000,24.920000,1219865
2020-11-30,24.799999,25.370001,24.510000,24.900000,24.900000,3525418
2020-12-01,25.000000,25.469999,24.959999,25.000000,25.000000,982265
2020-12-02,24.990000,25.100000,24.510000,24.799999,24.799999,936675
2020-12-03,24.879999,24.910000,24.370001,24.500000,24.500000,1155493
2020-12-04,24.780001,24.980000,24.600000,24.900000,24.900000,1818740
2020-12-07,25.260000,25.600000,25.110001,25.600000,25.600000,1512708
2020-12-08,25.540001,26.430000,25.530001,25.680000,25.680000,1560625
2020-12-09,25.920000,26.020000,24.969999,24.969999,24.969999,1617351
2020-12-10,25.250000,25.709999,24.990000,25.500000,25.500000,1518468
2020-12-11,25.559999,25.559999,24.990000,25.100000,25.100000,1377618
2020-12-14,25.120001,25.690001,24.990000,25.650000,25.650000,1095300
2020-12-15,25.930000,26.000000,25.690001,25.780001,25.780001,1058490
2020-12-16,26.000000,26.549999,25.930000,26.180000,26.180000,1517270
2020-12-17,26.360001,26.450001,25.830000,25.879999,25.879999,1075237
2020-12-18,26.290001,26.920000,26.000000,26.420000,26.420000,7495159
2020-12-21,26.110001,26.309999,25.510000,25.940001,25.940001,1469654
2020-12-22,25.799999,27.379999,25.670000,27.360001,27.360001,1215661
2020-12-23,27.879999,28.690001,27.559999,28.209999,28.209999,1296261
2020-12-28,29.500000,29.900000,29.000000,29.730000,29.730000,1537601
2020-12-29,29.980000,30.680000,29.900000,29.900000,29.900000,1352835
2020-12-30,30.170000,30.480000,29.910000,30.000000,30.000000,753781
2021-01-04,30.620001,31.200001,29.910000,30.129999,30.129999,1693265
