Date,Dividends
1999-12-28,0.267
2000-12-27,0.25
2001-12-26,0.231
1994-12-23,0.078
2002-12-26,0.229
2003-12-26,0.336
1995-12-27,0.324
2004-12-28,0.095
2005-12-27,0.556
1996-12-26,0.297
1997-12-26,0.15
1998-12-28,0.15
