1.3872,0.985,1.9025,-2.3552,-2.2153,-3.3231,,,1.39%,0.99%,1.90%,-2.36%,-2.22%,-3.32%
-3.0809,-3.7935,-3.7114,-2.5852,-4.7537,-4.0224,,,-3.08%,-3.79%,-3.71%,-2.59%,-4.75%,-4.02%
3.1384,2.9881,1.6756,6.487,5.6116,5.2383,,,3.14%,2.99%,1.68%,6.49%,5.61%,5.24%
0.8682,-0.7753,-0.0175,1.0128,1.0795,1.9513,,,0.87%,-0.78%,-0.02%,1.01%,1.08%,1.95%
2.7002,2.7185,2.7003,3.3162,3.2811,3.2102,,,2.70%,2.72%,2.70%,3.32%,3.28%,3.21%
0.3608,0.3184,1.0526,3.1102,1.547,2.8636,,,0.36%,0.32%,1.05%,3.11%,1.55%,2.86%
5.4339,8.3543,8.2854,1.3736,2.6297,4.7055,,,5.43%,8.35%,8.29%,1.37%,2.63%,4.71%
-0.6132,-2.0194,-2.3045,1.2894,-0.1227,-1.1664,,,-0.61%,-2.02%,-2.30%,1.29%,-0.12%,-1.17%
0.7577,0.5132,0.6249,2.4375,1.7119,2.1362,,,0.76%,0.51%,0.62%,2.44%,1.71%,2.14%
4.8044,3.137,3.4227,-0.1401,0.5945,4.2137,,,4.80%,3.14%,3.42%,-0.14%,0.59%,4.21%
-0.8419,-1.646,-3.7873,2.9182,0.01,-1.6429,,,-0.84%,-1.65%,-3.79%,2.92%,0.01%,-1.64%
1.9398,1.4574,0.5773,1.9931,0.7371,-0.9022,,,1.94%,1.46%,0.58%,1.99%,0.74%,-0.90%
2.3135,0.0667,-0.7161,1.0477,-0.1806,-2.5911,,,2.31%,0.07%,-0.72%,1.05%,-0.18%,-2.59%
3.3431,1.1476,0.2851,4.3066,2.5601,4.0165,,,3.34%,1.15%,0.29%,4.31%,2.56%,4.02%
1.9775,-0.1768,-0.6515,3.2527,0.9028,0.3928,,,1.98%,-0.18%,-0.65%,3.25%,0.90%,0.39%
-0.4427,2.845,4.5599,1.2816,1.9254,3.4783,,,-0.44%,2.85%,4.56%,1.28%,1.93%,3.48%
9.14,12.4935,14.9845,1.9783,5.0788,12.5522,,,9.14%,12.49%,14.98%,1.98%,5.08%,12.55%
-8.1473,-5.182,-3.0105,-2.0245,-2.1588,1.0863,,,-8.15%,-5.18%,-3.01%,-2.02%,-2.16%,1.09%
3.2742,1.2982,1.7466,0.4419,-0.0827,-0.4423,,,3.27%,1.30%,1.75%,0.44%,-0.08%,-0.44%
1.3009,2.7039,3.2145,-0.4301,0.2545,3.8763,,,1.30%,2.70%,3.21%,-0.43%,0.25%,3.88%
7.0391,5.6291,5.6866,4.9023,2.2617,3.6699,,,7.04%,5.63%,5.69%,4.90%,2.26%,3.67%
0.2363,-0.4343,-0.0454,0.0151,0.5957,-2.6052,,,0.24%,-0.43%,-0.05%,0.02%,0.60%,-2.61%
2.3106,1.2481,0.5243,2.1884,1.7852,0.6677,,,2.31%,1.25%,0.52%,2.19%,1.79%,0.67%
2.6672,1.1129,3.6681,-0.6303,1.2932,4.7555,,,2.67%,1.11%,3.67%,-0.63%,1.29%,4.76%
7.6979,7.9056,8.2563,6.5758,6.7995,8.2273,,,7.70%,7.91%,8.26%,6.58%,6.80%,8.23%
-0.5679,0.8792,0.5254,0.0169,0.6141,-2.2324,,,-0.57%,0.88%,0.53%,0.02%,0.61%,-2.23%
-14.0703,-7.6843,-6.8999,-5.1638,-5.136,-8.1899,,,-14.07%,-7.68%,-6.90%,-5.16%,-5.14%,-8.19%
-3.8978,-4.8966,-6.7996,-1.3047,-2.2755,-3.573,,,-3.90%,-4.90%,-6.80%,-1.30%,-2.28%,-3.57%
5.6427,3.3549,3.7086,0.5051,-0.275,1.6634,,,5.64%,3.35%,3.71%,0.51%,-0.28%,1.66%
5.0092,6.5349,5.7189,8.0283,8.4167,6.4126,,,5.01%,6.53%,5.72%,8.03%,8.42%,6.41%
-7.804,-4.7214,-4.6554,-2.2241,-2.8686,-4.2076,,,-7.80%,-4.72%,-4.66%,-2.22%,-2.87%,-4.21%
-9.3154,-4.7223,-3.2875,-6.1708,-5.6216,-6.6027,,,-9.32%,-4.72%,-3.29%,-6.17%,-5.62%,-6.60%
-0.3002,-2.4432,-5.5479,2.9698,1.2471,0.0849,,,-0.30%,-2.44%,-5.55%,2.97%,1.25%,0.08%
2.7091,0.3043,0.604,-1.8327,-1.9442,-1.2916,,,2.71%,0.30%,0.60%,-1.83%,-1.94%,-1.29%
2.8672,2.7056,0.8787,1.2263,1.49,0.9607,,,2.87%,2.71%,0.88%,1.23%,1.49%,0.96%
-3.2191,-2.0403,-0.7248,0.351,1.2633,1.5106,,,-3.22%,-2.04%,-0.72%,0.35%,1.26%,1.51%
2.1276,1.8077,1.1338,-1.3782,-1.5439,-1.2115,,,2.13%,1.81%,1.13%,-1.38%,-1.54%,-1.21%
7.6944,6.9486,5.006,6.4871,5.8861,5.4379,,,7.69%,6.95%,5.01%,6.49%,5.89%,5.44%
-2.7861,-4.899,-5.1879,-1.5796,-3.2693,-6.3993,,,-2.79%,-4.90%,-5.19%,-1.58%,-3.27%,-6.40%
2.089,2.8867,3.2688,-1.3509,0.1039,2.0002,,,2.09%,2.89%,3.27%,-1.35%,0.10%,2.00%
1.7971,-0.2269,-1.0656,3.7066,2.5557,0.3802,,,1.80%,-0.23%,-1.07%,3.71%,2.56%,0.38%
